binance_symbol,base_asset,multiplier,futures_price_usd,unit_price_from_futures_usd,perp_onboard_days,has_spot_usdt,spot_symbol,spot_price_usd,coingecko_id,coingecko_symbol,coingecko_name,coingecko_price_usd,price_diff_pct,market_cap_usd,fdv_usd,chain,contract,match_status,filter_reason
BTCUSDT,BTC,1,104223.8,104223.8,2233,true,BTCUSDT,104274.38,bitcoin,btc,Bitcoin,104210,0.00013242491123695337,2075082079022,2075082079022,,,matched,
XRPUSDT,XRP,1,2.2898,2.2898,2233,true,XRPUSDT,2.2917,ripple,xrp,XRP,2.29,0.0000873362445414751,137257368420,228321805214,,,matched,
ETHUSDT,ETH,1,3458.68,3458.68,2233,true,ETHUSDT,3460.32,ethereum,eth,Ethereum,3454.78,0.0011288707240402099,415969704023,415969704023,,,matched,
LINKUSDT,LINK,1,15.356,15.356,2233,true,LINKUSDT,15.37,chainlink,link,Chainlink,15.31,0.0030045721750489468,10647699908,15279759431,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,matched,
BCHUSDT,BCH,1,492.52,492.52,2233,true,BCHUSDT,492.9,bitcoin-cash,bch,Bitcoin Cash,492.45,0.00014214641080311337,9802438623,9802447837,,,matched,
ETCUSDT,ETC,1,14.716,14.716,2233,true,ETCUSDT,14.73,ethereum-classic,etc,Ethereum Classic,14.69,0.0017699115044247653,2265907207,2265907207,,,matched,
TRXUSDT,TRX,1,0.28867,0.28867,2233,true,TRXUSDT,0.2888,tron,trx,TRON,0.288562,0.0003742696543550329,27308349755,27308348485,,,matched,
ADAUSDT,ADA,1,0.5476,0.5476,2233,true,ADAUSDT,0.5481,cardano,ada,Cardano,0.54614,0.00267330721060537,19975174369,24567521216,,,matched,
XLMUSDT,XLM,1,0.2806,0.2806,2233,true,XLMUSDT,0.2807,stellar,xlm,Stellar,0.280441,0.0005669641742827199,8998487595,14022644240,,,matched,
DASHUSDT,DASH,1,110.67,110.67,2233,true,DASHUSDT,110.69,dash,dash,Dash,109.72,0.008658403208166267,1364950277,1364995313,,,matched,
ATOMUSDT,ATOM,1,2.663,2.663,2233,true,ATOMUSDT,2.665,cosmos,atom,Cosmos Hub,2.66,0.0011278195488720563,1265818621,1265818621,binance-smart-chain,0x0eb3a705fc54725037cc9e008bdede697f62f335,matched,
ZECUSDT,ZEC,1,484.16,484.16,2233,true,ZECUSDT,485.31,zcash,zec,Zcash,486.79,0.005402740401405114,7969574575,7969592069,near-protocol,zec.omft.near,matched,
BNBUSDT,BNB,1,966.5,966.5,2233,true,BNBUSDT,967.32,binancecoin,bnb,BNB,965.74,0.0007869612939300338,132579176298,132579176298,ethereum,0xb8c77482e45f1f44de1745f52c74426c631bdd52,matched,
XMRUSDT,XMR,1,357.1,357.1,2233,false,,,monero,xmr,Monero,354.28,0.00795980580331955,6545023523,6545023523,,,matched,
BATUSDT,BAT,1,0.1974,0.1974,2233,true,BATUSDT,0.1976,basic-attention-token,bat,Basic Attention,0.19787,0.0023752969121140052,295894630,296742928,ethereum,0x0d8775f648430679a709e98d2b0cb6250d2887ef,matched,
IOTAUSDT,IOTA,1,0.1313,0.1313,2233,true,IOTAUSDT,0.1314,iota,iota,IOTA,0.13122,0.0006096631611034655,540548659,621648319,,,matched,
VETUSDT,VET,1,0.015077,0.015077,2233,true,VETUSDT,0.0151,vechain,vet,VeChain,0.01506743,0.0006351448123535608,1294813029,1294813029,,,matched,
QTUMUSDT,QTUM,1,1.766,1.766,2233,true,QTUMUSDT,1.768,qtum,qtum,Qtum,1.77,0.0022598870056497193,186590198,190014762,,,matched,
ALGOUSDT,ALGO,1,0.1623,0.1623,2233,true,ALGOUSDT,0.1625,algorand,algo,Algorand,0.162014,0.0017652795437431857,1420322628,1420323348,,,matched,
LTCUSDT,LTC,1,88.71,88.71,2233,true,LTCUSDT,88.78,litecoin,ltc,Litecoin,88.56,0.0016937669376692803,6759069135,6759076315,,,matched,
NEOUSDT,NEO,1,5.007,5.007,2233,true,NEOUSDT,5.009,neo,neo,NEO,5,0.0013999999999999347,352768538,500168067,,,matched,
ONTUSDT,ONT,1,0.0825,0.0825,2233,true,ONTUSDT,0.0825,ontology,ont,Ontology,0.082497,0.000036364958725808214,75633888,82312338,,,matched,
THETAUSDT,THETA,1,0.4292,0.4292,2233,true,THETAUSDT,0.43,theta-token,theta,Theta Network,0.429037,0.00037992061290756797,427976939,427976939,,,matched,
XTZUSDT,XTZ,1,0.537,0.537,2233,true,XTZUSDT,0.5389,tezos,xtz,Tezos,0.538052,0.0019552013560026576,572193088,582980197,,,matched,
IOSTUSDT,IOST,1,0.002011,0.002011,2233,true,IOSTUSDT,0.002008,iostoken,iost,IOST,0.00201046,0.00026859524685905837,57940487,57940487,binance-smart-chain,0xaf48b7e315a52518cfbf7d96c455d9dfad94cb48,matched,
